Nama           NIK                      Password
Mita  1234567890123456	     3456
Dini   1134650178923421	     3421
Lyla   1975213910275390	     5390
Ema   1075297130111777	     1777
Andi   1904308549275942	     5942
Fitri    1234508097686902	     6902
Desi    1345436657729011	     9011
Amar   1257933920145934           5934
Eva      1175690222334550	     4550
Theo    1345556954768060           8060
Rino     1257973339990277           9027
Aska     1379028093275999          5999
Rina     1257463425234233	     4233
Caca     1579563273425784          5784
Olivia    1113970002345678         5678
Naema  1243335443667678         7678
Zen       1233454366778900         8900
Rivia     1779105100325791        5791
Alina     1232534646767989        7989
Davin     1233257923579221       9221
